Episode,Step,Timestamp,Speed_ms,Throttle,Steering,Brake,Damage,Damage_Increase,Total_Damage,Gx,Gy,Gz,Distance_From_Origin,Distance_From_Checkpoint,Position_X,Position_Y,Position_Z,Position_Delta,Stationary_Timer,Crash_Detected,Stationary_Timeout,Flipped,Reward,Event_Type
0,0,2026-01-04 10:14:36.659,7.82,0.95,-28.70,0.26,0.000,0.000,0.000,-1.09,-1.87,-9.62,7.8,7.8,-723.0,95.2,118.5,2.371,0.0,False,False,False,103.88,
0,1,2026-01-04 10:14:37.011,8.85,0.75,183.65,0.16,0.000,0.000,0.000,4.44,-2.73,-10.11,10.7,10.7,-725.0,93.1,118.4,2.781,0.0,False,False,False,103.36,
0,2,2026-01-04 10:14:37.361,9.58,0.74,353.02,0.08,0.000,0.000,0.000,6.89,-0.83,-9.10,13.9,13.9,-726.8,90.4,118.4,3.088,0.0,False,False,False,105.05,
0,3,2026-01-04 10:14:37.696,9.42,0.72,299.78,0.19,0.000,0.000,0.000,7.14,1.01,-9.29,16.9,16.9,-728.0,87.5,118.4,3.010,0.0,False,False,False,104.82,
0,4,2026-01-04 10:14:38.044,9.78,0.50,-53.27,0.08,0.000,0.000,0.000,2.93,-2.42,-7.37,19.9,19.9,-728.5,84.2,118.4,3.165,0.0,False,False,False,101.54,
0,5,2026-01-04 10:14:38.402,9.62,0.98,137.00,0.05,0.070,0.070,0.070,4.03,-0.53,-7.48,22.9,22.9,-728.7,80.8,118.4,3.081,0.0,False,False,False,100.52,
0,6,2026-01-04 10:14:38.754,1.76,0.56,-35.99,0.14,7697.477,0.000,7697.477,7.90,46.60,1.45,25.1,25.1,-728.6,78.3,118.5,2.388,0.0,True,False,True,49.55,CRASH
0,7,2026-01-04 10:14:42.182,4.73,0.41,126.88,0.04,0.000,0.000,0.000,2.89,-3.11,-9.31,2.2,23.0,-718.9,99.1,118.5,1.370,0.0,False,False,False,0.88,
0,8,2026-01-04 10:14:42.533,5.81,0.58,281.63,0.11,0.000,0.000,0.000,3.71,-2.41,-9.31,4.0,21.2,-720.0,97.6,118.5,1.767,0.0,False,False,False,1.46,
0,9,2026-01-04 10:14:42.882,6.72,0.58,-7.80,0.12,0.000,0.000,0.000,-0.78,-2.35,-9.21,6.2,19.0,-721.0,95.6,118.5,2.104,0.0,False,False,False,101.15,
0,10,2026-01-04 10:14:43.233,8.04,0.82,145.06,0.05,0.000,0.000,0.000,3.18,-3.25,-10.06,8.7,16.4,-722.0,93.3,118.4,2.461,0.0,False,False,False,101.96,
0,11,2026-01-04 10:14:43.584,8.61,0.83,-210.60,0.22,0.000,0.000,0.000,-3.60,-0.93,-9.54,11.6,13.5,-723.1,90.6,118.4,2.800,0.0,False,False,False,100.90,
0,12,2026-01-04 10:14:43.950,8.89,0.98,-209.84,0.25,0.000,0.000,0.000,-4.72,0.05,-9.01,14.8,10.3,-724.7,87.8,118.4,2.928,0.0,False,False,False,102.91,
0,13,2026-01-04 10:14:44.300,9.09,0.73,-227.53,0.14,0.000,0.000,0.000,-5.86,-0.34,-8.92,17.9,7.5,-726.9,85.5,118.4,2.995,0.0,False,False,False,102.94,
0,14,2026-01-04 10:14:44.650,9.91,0.73,120.07,0.15,0.000,0.000,0.000,-0.49,-3.71,-10.29,21.0,5.4,-729.6,83.6,118.4,3.134,0.0,False,False,False,100.42,
0,15,2026-01-04 10:14:45.000,10.90,0.98,65.96,0.23,0.000,0.000,0.000,-0.77,-2.82,-9.70,24.4,5.3,-732.7,81.7,118.3,3.482,0.0,False,False,False,100.00,
0,16,2026-01-04 10:14:45.351,11.11,0.31,-196.37,0.14,0.000,0.000,0.000,-4.66,1.25,-9.88,28.0,7.7,-736.1,79.9,118.3,3.735,0.0,False,False,False,100.31,
0,17,2026-01-04 10:14:45.718,11.66,0.56,-93.43,0.03,0.000,0.000,0.000,-5.79,-2.79,-8.37,31.7,11.4,-740.0,78.5,118.3,3.748,0.0,False,False,False,101.14,
0,18,2026-01-04 10:14:46.068,12.64,0.80,228.35,0.15,0.000,0.000,0.000,3.67,-2.39,-10.21,35.4,15.6,-744.2,77.6,118.3,4.042,0.0,False,False,False,0.40,
0,19,2026-01-04 10:14:46.419,12.84,0.51,-117.93,0.14,0.000,0.000,0.000,-1.63,-0.11,-8.83,39.5,19.9,-748.4,76.3,118.2,4.270,0.0,False,False,False,0.30,
0,20,2026-01-04 10:14:46.768,13.61,0.91,-12.86,0.11,0.000,0.000,0.000,-1.93,-2.91,-9.40,43.8,24.5,-752.9,75.0,118.2,4.387,0.0,False,False,False,2.23,
0,21,2026-01-04 10:14:47.118,13.75,0.97,-182.13,0.09,0.000,0.000,0.000,-4.74,2.58,-9.70,48.3,29.3,-757.7,74.0,118.2,4.638,0.0,False,False,False,1.44,
0,22,2026-01-04 10:14:47.484,13.17,0.87,109.51,0.01,7.072,0.000,7.072,-1.42,2.47,-7.46,52.7,34.3,-762.6,73.6,118.4,4.482,0.0,False,False,False,-1.02,
0,23,2026-01-04 10:14:47.835,2.80,0.88,-108.25,0.21,19567.174,0.000,19567.174,-4.27,-2.12,-9.38,54.2,35.6,-763.7,72.7,118.3,1.307,0.0,True,False,False,-30.12,CRASH
0,24,2026-01-04 10:14:51.245,4.69,0.75,-228.74,0.01,0.000,0.000,0.000,-4.77,-2.48,-10.41,2.4,51.8,-719.2,99.1,118.5,1.386,0.0,False,False,False,0.78,
0,25,2026-01-04 10:14:51.594,6.20,0.73,78.56,0.01,0.000,0.000,0.000,1.64,-4.77,-9.84,4.3,49.9,-720.8,98.0,118.5,1.806,0.0,False,False,False,0.23,
0,26,2026-01-04 10:14:51.930,7.52,0.87,171.82,0.03,0.000,0.000,0.000,3.92,-3.69,-9.34,6.6,47.7,-722.4,96.4,118.5,2.181,0.0,False,False,False,102.42,
0,27,2026-01-04 10:14:52.282,7.77,0.34,-87.28,0.18,0.000,0.000,0.000,-2.41,0.04,-9.34,9.3,45.1,-724.3,94.4,118.4,2.585,0.0,False,False,False,101.73,
0,28,2026-01-04 10:14:52.631,8.42,0.79,180.14,0.27,0.000,0.000,0.000,3.06,-1.60,-10.43,12.1,42.4,-726.2,92.4,118.4,2.682,0.0,False,False,False,101.31,
0,29,2026-01-04 10:14:52.998,9.31,0.91,-105.39,0.11,0.000,0.000,0.000,-1.54,-2.39,-8.25,15.3,39.5,-728.2,89.8,118.4,2.971,0.0,False,False,False,101.49,
0,30,2026-01-04 10:14:53.347,9.59,0.51,-73.36,0.29,0.000,0.000,0.000,-2.49,-0.15,-9.85,18.6,36.4,-730.4,87.3,118.4,3.169,0.0,False,False,False,102.83,
0,31,2026-01-04 10:14:53.698,9.94,0.57,-154.93,0.18,0.000,0.000,0.000,-5.22,-0.92,-9.32,22.1,33.2,-732.9,85.0,118.4,3.259,0.0,False,False,False,100.10,
0,32,2026-01-04 10:14:54.047,10.22,0.88,-122.42,0.30,0.000,0.000,0.000,-5.08,-1.49,-9.82,25.5,29.7,-735.9,83.2,118.3,3.360,0.0,False,False,False,100.00,
0,33,2026-01-04 10:14:54.381,11.34,0.49,256.45,0.01,0.000,0.000,0.000,3.01,-2.55,-9.23,29.0,26.2,-739.1,81.5,118.3,3.421,0.0,False,False,False,97.55,
0,34,2026-01-04 10:14:54.747,11.59,0.73,144.58,0.24,0.000,0.000,0.000,7.40,-0.29,-9.16,33.1,22.1,-742.6,79.2,118.3,3.829,0.0,False,False,False,99.02,
0,35,2026-01-04 10:14:55.097,11.63,0.76,-247.88,0.27,0.000,0.000,0.000,-0.91,0.13,-8.06,37.2,18.4,-745.7,76.6,118.3,3.877,0.0,False,False,False,-1.79,
0,36,2026-01-04 10:14:55.448,11.64,0.99,-260.32,0.24,0.000,0.000,0.000,-6.44,1.23,-10.14,41.3,14.8,-749.0,74.2,118.2,3.897,0.0,False,False,False,0.00,
0,37,2026-01-04 10:14:55.797,12.07,0.89,165.56,0.24,0.000,0.000,0.000,-0.51,-1.80,-9.65,45.3,11.1,-752.7,72.3,118.2,3.916,0.0,False,False,False,-1.33,
0,38,2026-01-04 10:14:56.148,12.70,0.60,-115.07,0.19,0.000,0.000,0.000,-3.30,-0.31,-8.49,49.5,7.4,-756.7,70.5,118.2,4.177,0.0,False,False,False,-1.01,
0,39,2026-01-04 10:14:56.514,12.72,0.32,122.38,0.18,0.000,0.000,0.000,2.72,0.44,-10.45,54.0,4.7,-761.0,68.9,118.1,4.237,0.0,False,False,False,-1.17,
0,40,2026-01-04 10:14:56.864,12.59,0.66,-103.50,0.28,0.012,0.012,0.012,-6.04,2.87,-19.16,58.3,5.7,-765.1,67.1,118.2,4.226,0.0,False,False,False,0.50,
0,41,2026-01-04 10:14:57.214,12.34,0.90,123.43,0.20,0.012,0.012,0.012,-0.55,1.00,-10.01,62.6,9.0,-769.1,65.4,118.2,4.125,0.0,False,False,False,1.11,
0,42,2026-01-04 10:14:57.564,12.23,0.78,-213.91,0.27,0.012,0.012,0.012,-2.43,0.69,-8.67,66.8,12.9,-773.0,63.7,118.2,4.072,0.0,False,False,False,0.33,
0,43,2026-01-04 10:14:57.916,8.92,0.90,86.76,0.27,5945.816,0.000,5945.816,-0.97,-0.10,-9.68,70.2,16.3,-775.9,61.8,118.2,3.261,0.0,True,False,False,-29.97,CRASH
0,44,2026-01-04 10:15:01.344,4.24,0.58,-48.77,0.27,0.000,0.000,0.000,-1.30,-1.71,-10.15,2.5,67.8,-719.1,99.0,118.5,1.321,0.0,False,False,False,1.61,
0,45,2026-01-04 10:15:01.678,5.19,0.37,209.14,0.08,0.000,0.000,0.000,2.78,-2.60,-9.90,4.0,66.3,-720.2,97.8,118.5,1.499,0.0,False,False,False,0.27,
0,46,2026-01-04 10:15:02.029,6.02,0.43,-166.67,0.03,0.000,0.000,0.000,-3.37,-1.94,-9.23,6.0,64.4,-721.5,96.3,118.5,1.888,0.0,False,False,False,99.79,
0,47,2026-01-04 10:15:02.362,6.63,0.93,-211.60,0.20,0.000,0.000,0.000,-3.73,-1.68,-9.47,8.1,62.4,-723.0,94.9,118.5,1.995,0.0,False,False,False,102.23,
0,48,2026-01-04 10:15:02.713,7.56,0.58,-98.90,0.18,0.000,0.000,0.000,-2.57,-2.14,-10.18,10.5,59.9,-725.2,93.6,118.4,2.369,0.0,False,False,False,102.39,
0,49,2026-01-04 10:15:03.063,8.95,0.94,163.55,0.02,0.000,0.000,0.000,3.47,-4.10,-10.10,13.3,57.0,-727.6,92.2,118.4,2.615,0.0,False,False,False,101.08,
0,50,2026-01-04 10:15:03.413,8.96,0.33,-89.99,0.24,0.000,0.000,0.000,-1.46,1.17,-8.95,16.5,53.8,-730.3,90.4,118.4,3.028,0.0,False,False,False,100.99,
0,51,2026-01-04 10:15:03.762,9.11,0.75,-213.15,0.27,0.000,0.000,0.000,-5.03,-0.62,-9.55,19.6,50.7,-733.0,88.9,118.4,2.992,0.0,False,False,False,100.36,
0,52,2026-01-04 10:15:04.101,9.67,0.86,-46.22,0.27,0.000,0.000,0.000,-3.01,-2.44,-9.74,22.6,47.7,-735.9,87.8,118.4,2.955,0.0,False,False,False,100.00,
0,53,2026-01-04 10:15:04.450,10.53,0.37,232.20,0.05,0.000,0.000,0.000,5.28,-0.56,-9.62,26.0,44.2,-739.3,86.7,118.3,3.400,0.0,False,False,False,98.45,
0,54,2026-01-04 10:15:04.819,11.10,0.71,-231.96,0.04,0.000,0.000,0.000,1.11,-1.72,-7.29,29.9,40.4,-742.9,85.1,118.3,3.602,0.0,False,False,False,96.67,
0,55,2026-01-04 10:15:05.251,10.71,0.34,-212.12,0.30,0.000,0.000,0.000,-5.49,2.67,-9.20,33.4,37.0,-746.2,83.8,118.3,3.303,0.0,False,False,False,-0.82,
0,56,2026-01-04 10:15:05.602,9.98,0.83,-351.30,0.27,0.293,0.293,0.293,-10.82,3.80,-15.54,36.3,34.2,-749.2,83.1,118.3,2.932,0.0,False,False,False,-0.72,
0,57,2026-01-04 10:15:05.948,9.71,0.50,166.97,0.05,0.544,0.000,0.544,-2.66,-1.30,-4.36,39.2,31.6,-752.4,83.0,118.5,3.061,0.0,False,False,False,-4.25,
0,58,2026-01-04 10:15:06.299,3.25,0.70,53.88,0.08,11701.005,0.000,11701.005,-4.12,2.16,-9.60,41.1,30.0,-754.2,82.5,118.4,1.687,0.0,True,False,False,-30.00,CRASH
0,59,2026-01-04 10:15:09.719,4.36,0.86,-252.45,0.16,0.000,0.000,0.000,-3.05,-1.95,-9.94,2.5,38.6,-719.3,99.0,118.5,1.342,0.0,False,False,False,-0.15,
0,60,2026-01-04 10:15:10.052,5.11,0.30,160.47,0.13,0.000,0.000,0.000,2.81,-2.36,-9.87,4.1,37.1,-720.5,98.0,118.5,1.499,0.0,False,False,False,-1.18,
0,61,2026-01-04 10:15:10.401,5.20,0.33,-58.35,0.29,0.000,0.000,0.000,-1.53,-0.31,-8.97,5.9,35.4,-721.9,96.8,118.5,1.733,0.0,False,False,False,100.54,
0,62,2026-01-04 10:15:10.735,5.96,0.45,43.68,0.17,0.000,0.000,0.000,0.28,-2.28,-10.94,7.8,33.6,-723.3,95.6,118.4,1.766,0.0,False,False,False,101.98,
0,63,2026-01-04 10:15:11.086,6.34,0.83,-248.58,0.25,0.000,0.000,0.000,-4.59,-0.46,-9.20,9.9,31.5,-725.0,94.3,118.4,2.068,0.0,False,False,False,100.67,
0,64,2026-01-04 10:15:11.436,7.56,0.63,62.65,0.06,0.000,0.000,0.000,1.23,-4.28,-9.73,12.3,29.1,-727.1,93.1,118.4,2.183,0.0,False,False,False,100.24,
0,65,2026-01-04 10:15:11.771,8.62,0.91,163.08,0.12,0.000,0.000,0.000,4.09,-2.18,-9.74,15.0,26.5,-729.3,91.6,118.4,2.580,0.0,False,False,False,102.11,
0,66,2026-01-04 10:15:12.126,9.70,0.60,-50.25,0.01,0.000,0.000,0.000,-0.91,-2.74,-9.79,18.2,23.5,-731.7,89.5,118.4,3.064,0.0,False,False,False,101.07,
0,67,2026-01-04 10:15:12.465,10.25,0.66,-269.64,0.12,0.000,0.000,0.000,-6.04,-0.71,-10.46,21.5,20.4,-734.4,87.5,118.4,3.179,0.0,False,False,False,98.30,
0,68,2026-01-04 10:15:12.802,10.29,0.42,-177.28,0.17,0.000,0.000,0.000,-6.91,-0.21,-9.07,24.9,17.1,-737.5,85.9,118.3,3.254,0.0,False,False,False,99.11,
0,69,2026-01-04 10:15:13.153,10.67,0.78,-266.01,0.03,0.000,0.000,0.000,-7.04,-1.99,-9.82,28.3,13.4,-741.0,85.0,118.3,3.309,0.0,False,False,False,100.00,
0,70,2026-01-04 10:15:13.494,11.27,0.48,192.52,0.18,0.000,0.000,0.000,1.07,-2.27,-9.61,31.4,10.0,-744.4,84.8,118.3,3.273,0.0,False,False,False,97.91,
0,71,2026-01-04 10:15:13.831,11.68,0.31,25.49,0.00,5.141,0.000,5.141,6.99,0.54,-5.68,34.9,6.2,-748.3,84.5,118.4,3.687,0.0,False,False,False,-2.83,
0,72,2026-01-04 10:15:14.183,11.16,0.51,-27.48,0.00,6.034,0.000,6.034,1.60,0.60,-1.64,38.6,2.5,-752.3,84.0,118.5,3.798,0.0,False,False,False,-2.00,
0,73,2026-01-04 10:15:14.517,2.90,0.42,-229.83,0.28,10729.482,0.000,10729.482,-6.59,1.70,-9.90,40.6,0.8,-754.0,83.2,118.4,1.771,0.0,True,False,False,-30.99,CRASH
0,74,2026-01-04 10:15:17.935,4.53,0.52,182.42,0.16,0.000,0.000,0.000,3.27,-2.48,-10.50,2.4,38.3,-719.1,99.0,118.5,1.358,0.0,False,False,False,-0.60,
0,75,2026-01-04 10:15:18.274,5.17,0.77,336.46,0.24,0.000,0.000,0.000,2.51,-1.48,-9.92,4.0,37.0,-719.9,97.6,118.5,1.542,0.0,False,False,False,1.83,
0,76,2026-01-04 10:15:18.611,5.71,0.73,-124.38,0.20,0.000,0.000,0.000,-2.86,-1.22,-9.43,5.8,35.7,-720.7,96.0,118.5,1.734,0.0,False,False,False,99.59,
0,77,2026-01-04 10:15:18.961,6.35,0.49,162.30,0.25,0.000,0.000,0.000,3.57,-1.89,-9.94,7.9,34.1,-721.7,94.2,118.4,2.004,0.0,False,False,False,100.50,
0,78,2026-01-04 10:15:19.311,7.25,0.66,209.19,0.15,0.000,0.000,0.000,4.52,-2.35,-8.92,10.2,32.7,-722.5,91.9,118.4,2.260,0.0,False,False,False,102.29,
0,79,2026-01-04 10:15:19.670,8.09,0.56,394.02,0.07,0.000,0.000,0.000,6.74,-1.37,-9.63,12.7,31.8,-722.8,89.2,118.4,2.450,0.0,False,False,False,101.16,
0,80,2026-01-04 10:15:20.018,7.94,0.51,-30.12,0.27,0.000,0.000,0.000,5.41,0.45,-3.62,15.1,31.6,-722.6,86.6,118.5,2.542,0.0,False,False,False,99.22,
0,81,2026-01-04 10:15:20.367,1.84,0.53,-287.94,0.08,8060.627,0.000,8060.627,3.46,4.12,-9.70,16.6,31.5,-722.5,84.9,118.5,1.517,0.0,True,False,False,68.72,CRASH
0,82,2026-01-04 10:15:23.792,4.67,0.72,-177.08,0.05,0.000,0.000,0.000,-2.62,-2.57,-9.97,2.5,14.5,-719.3,99.0,118.5,1.385,0.0,False,False,False,1.04,
0,83,2026-01-04 10:15:24.142,5.91,0.81,-194.99,0.02,0.000,0.000,0.000,-3.26,-3.64,-10.38,4.3,13.2,-720.8,98.1,118.5,1.759,0.0,False,False,False,2.01,
0,84,2026-01-04 10:15:24.493,6.81,0.61,-351.63,0.06,0.000,0.000,0.000,-5.21,-1.18,-9.28,6.5,12.3,-722.9,97.2,118.5,2.139,0.0,False,False,False,101.08,
0,85,2026-01-04 10:15:24.826,8.10,0.86,46.88,0.03,0.000,0.000,0.000,1.01,-5.00,-10.00,8.8,12.2,-725.3,96.8,118.5,2.325,0.0,False,False,False,99.58,
0,86,2026-01-04 10:15:25.177,8.67,0.58,-131.03,0.28,0.000,0.000,0.000,-3.95,0.40,-9.61,11.7,12.9,-728.3,96.4,118.4,2.856,0.0,False,False,False,101.34,
