Episode,Steps,Time_s,Total_Reward,Avg_Reward,Final_Distance_m,Max_Speed_mph,Crashes,Final_Damage,Buffer_Size,Timestamp
1,14,7.9,4.60,0.33,1.0,5.8,1,0.00,14,2025-12-27 14:04:49
2,9,6.2,-17.13,-1.90,1.0,5.6,1,0.00,23,2025-12-27 14:04:57
3,12,7.2,-3.14,-0.26,1.1,5.4,1,0.00,35,2025-12-27 14:05:06
4,11,6.9,-6.82,-0.62,0.9,5.7,1,0.00,46,2025-12-27 14:05:15
5,11,6.9,-4.95,-0.45,0.9,5.7,1,0.00,57,2025-12-27 14:05:24
6,16,8.6,13.22,0.83,1.0,5.5,1,0.00,73,2025-12-27 14:05:34
7,20,9.9,24.84,1.24,7.7,2.2,1,0.00,93,2025-12-27 14:05:46
8,29,13.0,57.04,1.97,0.8,5.9,1,0.00,122,2025-12-27 14:06:01
9,15,8.2,9.75,0.65,0.8,5.8,1,0.00,137,2025-12-27 14:06:12
10,8,5.8,-13.04,-1.63,1.0,5.4,1,0.00,145,2025-12-27 14:06:19
11,28,12.8,50.74,1.81,0.8,5.7,1,0.00,173,2025-12-27 14:06:34
12,20,10.0,18.97,0.95,0.9,5.6,1,0.00,193,2025-12-27 14:06:46
13,15,8.2,6.91,0.46,8.1,2.3,1,0.00,208,2025-12-27 14:06:56
14,9,6.1,-11.18,-1.24,0.8,5.7,1,0.00,217,2025-12-27 14:07:04
15,9,6.1,-9.59,-1.07,0.9,5.7,1,0.00,226,2025-12-27 14:07:12
16,21,10.4,30.06,1.43,0.8,5.7,1,0.00,247,2025-12-27 14:07:25
17,19,9.7,22.70,1.19,0.8,5.8,1,0.00,266,2025-12-27 14:07:36
18,8,5.8,-15.19,-1.90,0.7,5.7,1,0.00,274,2025-12-27 14:07:44
19,11,6.9,-12.81,-1.16,0.9,5.7,1,0.00,285,2025-12-27 14:07:53
20,16,8.6,10.12,0.63,0.8,5.7,1,0.00,301,2025-12-27 14:08:03
21,25,11.8,48.43,1.94,0.9,5.7,1,0.00,326,2025-12-27 14:08:17
22,9,6.1,-10.39,-1.15,1.0,5.6,1,0.00,335,2025-12-27 14:08:25
23,28,12.8,54.65,1.95,1.0,5.5,1,0.00,363,2025-12-27 14:08:40
24,10,6.5,-7.84,-0.78,0.9,5.7,1,0.00,373,2025-12-27 14:08:49
25,9,6.2,-10.70,-1.19,0.9,5.6,1,0.00,382,2025-12-27 14:08:57
26,6,5.1,-19.91,-3.32,0.8,5.7,1,0.00,388,2025-12-27 14:09:04
27,16,8.6,9.71,0.61,7.9,2.3,1,0.00,404,2025-12-27 14:09:15
28,14,7.9,-13.13,-0.94,0.9,5.7,1,0.00,418,2025-12-27 14:09:24
29,9,6.1,-12.78,-1.42,0.7,5.8,1,0.00,427,2025-12-27 14:09:32
30,25,11.7,42.60,1.70,1.0,5.5,1,0.00,452,2025-12-27 14:09:46
31,9,6.2,-9.31,-1.03,0.7,5.7,1,0.00,461,2025-12-27 14:09:54
32,10,6.4,-10.90,-1.09,0.9,5.6,1,0.00,471,2025-12-27 14:10:03
33,21,10.3,5.21,0.25,1.0,5.4,1,0.00,492,2025-12-27 14:10:15
34,23,11.0,35.56,1.55,1.0,5.4,1,0.00,515,2025-12-27 14:10:28
35,13,7.5,-5.65,-0.43,0.9,5.7,1,0.00,528,2025-12-27 14:10:37
36,9,6.1,-9.96,-1.11,0.8,5.6,1,0.00,537,2025-12-27 14:10:45
37,12,7.2,-1.99,-0.17,0.8,5.7,1,0.00,549,2025-12-27 14:10:55
38,15,8.3,8.79,0.59,0.8,5.8,1,0.00,564,2025-12-27 14:11:05
39,10,6.5,-9.33,-0.93,0.8,5.7,1,0.00,574,2025-12-27 14:11:13
40,10,6.5,-15.14,-1.51,0.9,5.7,1,0.00,584,2025-12-27 14:11:22
41,21,10.3,29.07,1.38,0.8,5.7,1,0.00,605,2025-12-27 14:11:34
42,9,6.1,-12.94,-1.44,1.2,4.9,1,0.00,614,2025-12-27 14:11:42
